id,pair_symbol,token0_symbol,token1_symbol,token0_id,token1_id,token0_pyth_price,token1_pyth_price,trade_path,gas_cost,uniswap_fee,trade_cost,liquidity_rate_token0,variable_borrow_rate_token0,profitable_token0,liquidity_rate_token1,variable_borrow_rate_token1,profitable_token1
0x4585fe77225b41b697c938b018e2ac67ac5a20c0,WBTC/WETH,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,95979.7667866499978117644786834716796875,3385.132314360000236774794757366180419921875,WBTC -> WETH,0,0.000500,527.8887173265749879647046327,0,0,True,,,
0x4585fe77225b41b697c938b018e2ac67ac5a20c0,WBTC/WETH,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,95979.7667866499978117644786834716796875,3385.132314360000236774794757366180419921875,WETH -> WBTC,0,0.000500,18.61822772898000130226137117,,,,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True
0x9db9e0e53058c89e5b94e29621a205198648425b,WBTC/USDT,WBTC,USDT,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xdac17f958d2ee523a2206206994597c13d831ec7,95979.7667866499978117644786834716796875,0.998915989999999975879063640604726970195770263671875,WBTC -> USDT,0,0.003000,767.8381342931999824941158295,0,0,True,,,
0x9db9e0e53058c89e5b94e29621a205198648425b,WBTC/USDT,WBTC,USDT,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xdac17f958d2ee523a2206206994597c13d831ec7,95979.7667866499978117644786834716796875,0.998915989999999975879063640604726970195770263671875,USDT -> WBTC,0,0.003000,0.007991327919999999807032509125,,,,0,0,True
0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,LINK/WETH,LINK,WETH,0x514910771af9ca656af840dff83e8264ecf986ca,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,22.96028229000000209225618164055049419403076171875,3385.132314360000236774794757366180419921875,LINK -> WETH,0,0.003000,0.1836822583200000167380494531,0,0,True,,,
0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,LINK/WETH,LINK,WETH,0x514910771af9ca656af840dff83e8264ecf986ca,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,22.96028229000000209225618164055049419403076171875,3385.132314360000236774794757366180419921875,WETH -> LINK,0,0.003000,27.08105851488000189419835806,,,,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True
0x11950d141ecb863f01007add7d1a342041227b58,PEPE/WETH,PEPE,WETH,0x6982508145454ce325ddbe47a25d4ec3d2311933,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.00001766630000000000058472428288158795339768403209745883941650390625,3385.132314360000236774794757366180419921875,PEPE -> WETH,0,0.003000,1.413304000000000046777942630E-7,0,0,True,,,
0x11950d141ecb863f01007add7d1a342041227b58,PEPE/WETH,PEPE,WETH,0x6982508145454ce325ddbe47a25d4ec3d2311933,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.00001766630000000000058472428288158795339768403209745883941650390625,3385.132314360000236774794757366180419921875,WETH -> PEPE,0,0.003000,27.08105851488000189419835806,,,,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True
0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH/USDT,WETH,USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,3385.132314360000236774794757366180419921875,0.998915989999999975879063640604726970195770263671875,WETH -> USDT,0,0.000500,18.61822772898000130226137117,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True,,,
0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH/USDT,WETH,USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,3385.132314360000236774794757366180419921875,0.998915989999999975879063640604726970195770263671875,USDT -> WETH,0,0.000500,0.005494037944999999867334850023,,,,0,0,True
0x5777d92f208679db4b9778590fa3cab3ac9e2168,DAI/USDC,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.99996910999999999436482767123379744589328765869140625,0.99997984000000006421515763577190227806568145751953125,DAI -> USDC,0,0.000100,0.005099842460999999971260621123,0,0,True,,,
0x5777d92f208679db4b9778590fa3cab3ac9e2168,DAI/USDC,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.99996910999999999436482767123379744589328765869140625,0.99997984000000006421515763577190227806568145751953125,USDC -> DAI,0,0.000100,0.005099897184000000327497303943,,,,0,0,True
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,UNI/WETH,UNI,WETH,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,13.810565249999999792862581671215593814849853515625,3385.132314360000236774794757366180419921875,UNI -> WETH,0,0.003000,0.1104845219999999983429006534,0,0,True,,,
