id,token0_symbol,token0_decimals,token0_id,token1_symbol,token1_decimals,token1_id,sqrtPrice,totalValueLockedUSD,totalValueLockedToken0,totalValueLockedToken1,volumeUSD,feeTier,price_token1_per_token0,price_token0_per_token1,pair,adjusted_price_token1_per_token0,adjusted_price_token0_per_token1,adjusted_price_token1_per_token0_scaled,adjusted_price_token0_per_token1_scaled,constant_k,calculated_tvl_usd
0x127452f3f9cdc0389b0bf59ce6131aa3bd763598,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,SOL,9,0xd31a59c85ae9d8edefec411d448f90841571b89c,10471693035298707868426216,24596480.942419153,3252.7934859026486,71617.351688157,1629277063.9597728,3000,132171.34795235685,7.565936305351634e-06,WETH/SOL,1.7469265219542987e-08,57243392.176637925,1.7469265219542985e-17,5.7243392176637926e-11,232956455.04883614,9465761909.426321
0x5764a6f2212d502bc5970f9f129ffcd61e5d7563,SHIB,18,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6391285935360016494615196,21592158.788294453,585200844513.741,2636.065350451329,1731163451.6860583,10000,8.066936973591078e-05,12396.27882644582,SHIB/WETH,6.507547213589078e-09,153667728.74298894,6.507547213589077e-27,1.5366772874298893e-10,1542627669277528.2,7254312838063899.0
0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316,MKR,18,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,53272228096805538947192628263,21321102.300226294,12239.751283315345,884.4877525031243,434274459.62144285,10000,0.6723900492733796,1.4872320033299913,MKR/WETH,0.4521083783618581,2.2118590317289386,4.521083783618581e-19,2.2118590317289387e-18,10825910.10377682,18798.07058483319
0x0c30062368eefb96bf3ade1218e685306b8e89fa,BITCOIN,8,0x72e4f9f808c49a2a61de9c5896298920dc4eeea9,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,56978234986875409500997595185316,20977670.033771995,68064046.07527943,2756.6385413698436,524210288.1342189,10000,7.191664324742728e-08,13904987.146848982,BITCOIN/WETH,517200.35759777296,1.9334866755403535e-06,5.172003575977729e-13,1.9334866755403534e-14,187627972692.6881,946429685839297.4
0xc1cd3d0913f4633b43fcddbcd7342bc9b71c676f,INST,18,0x6f40d4a6237c257fff2db00fa0510deeecd303eb,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3533263872121302362848237441,20433888.991345618,2684723.3453432578,777.8796473610813,150487446.1413388,10000,0.044596059784740925,22.423505682494444,INST/WETH,0.0019888085483241867,502.81360709286054,1.9888085483241866e-21,5.028136070928605e-16,2088391649.1376758,60200943.88059729
0x4a25dbdf9629b1782c3e2c7de3bdce41f1c7f801,USDM,6,0xbbaec992fc2d637151daf40451f160bf85f3c8c1,USDT,6,0xdac17f958d2ee523a2206206994597c13d831ec7,79231628146231949023393207470,20002381.559820697,9125480.874493,10876102.326539,3089274.129534621,500,1.0000437424251378,0.9999562594881782,USDM/USDT,1.0000874867636758,0.9999125208895885,1.0000874867636757e-06,9.999125208895886e-07,99249663769860.47,20001659.794919737
0x60594a405d53811d3bc4766596efd80fd545a270,DAI,18,0x6b175474e89094c44da98b954eedeac495271d0f,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1367890866268509247148187107,19677401.516802162,8896011.76271033,3222.7433794141843,30915648898.34958,500,0.017265210032130086,57.919944103722294,DAI/WETH,0.0002980874774535653,3354.719924978316,2.980874774535653e-22,3.354719924978316e-15,28669563011.46542,515256559.6835796
0xac4b3dacb91461209ae9d41ec517c2b9cb1b7daf,APE,18,0x4d224452801aced8b2f0aebe155379bb5d594381,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1502946391870974168420059607,19327942.45077402,2320278.6914590914,4946.131292145046,7119383244.547554,3000,0.018969850419039844,52.71522852896669,APE/WETH,0.00035985522492074616,2778.895318861184,3.598552249207462e-22,2.778895318861184e-15,11476403042.323174,122314115.29852855
0x109830a1aaad605bbf02a9dfa7b0b92ec2fb7daa,WSTETH,18,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,86381669634871405761754390135,19121093.7121888,478.67400629872986,5152.375686538519,22309972219.201553,100,1.090289953642673,0.9171872093831435,WSTETH/WETH,1.1887321830141413,0.8412323770560386,1.1887321830141414e-18,8.412323770560386e-19,2466308.311831562,6056.617124467099
0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,AAVE,18,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,24857475808586300323766835089,18973616.775740776,27227.717722203444,3000.000498250487,1674035693.5946598,3000,0.3137454538859326,3.1872971786981386,AAVE/WETH,0.0984362098340899,10.15886330533711,9.843620983408991e-20,1.0158863305337111e-17,81683166.73283395,87724.06439634998
0xd4f56e41e77e2594e89473c7ec03f3f8f6ed315b,LBTC,8,0x8236a87084f8b84306f72007f36f2618a5634494,CBBTC,8,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,79251641379184510412352440852,18688587.585385628,92.24381928,108.08081647,0.0,500,1.0002963449381521,0.9997037428561528,LBTC/CBBTC,1.0005927776966261,0.9994075734806015,1.0005927776966261e-08,9.994075734806014e-09,9969.787302093528,200.32933706243477
0x7a415b19932c0105c82fdb6b720bb01b0cc2cae3,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WEETH,18,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,77093833396292306066683861127,18258845.347546253,5040.149127614187,403.58447834374846,3125781655.7613616,500,0.9730609791993124,1.0276848228184574,WETH/WEETH,0.9468476692403246,1.0561360950514043,9.468476692403246e-19,1.0561360950514042e-18,2034125.9564428704,5572.3970708776005
0x970a7749ecaa4394c8b2bf5f2471f41fd6b79288,WM,6,0x437cc33344a0b27a429f795ff6b469c72698b291,USDC,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,79231603215308097447120820419,18016328.418905262,2368467.004396,15647655.695644,82965917.657162,100,1.0000434277526395,0.9999565741332482,WM/USDC,1.0000868573912487,0.9999131501523025,1.0000868573912488e-06,9.999131501523025e-07,37060956211281.95,18016699.3898284
0xa3f558aebaecaf0e11ca4b2199cc5ed341edfd74,LDO,18,0x5a98fcbea516cf06857215779fd812ca3bef1b32,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1820472475611991377509691817,17117987.497288134,3995766.905006563,3017.223455471078,3286843819.57536,3000,0.022977593040659387,43.52065937587443,LDO/WETH,0.0005279697819421588,1894.0477925108867,5.279697819421588e-22,1.8940477925108868e-15,12056121628.380877,173898479.74671528
0x40e629a26d96baa6d81fae5f97205c2ab2c1ff29,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETHM,18,0xf80fc1ce16cbcbd18421e9cd055ca1bb58a9e097,79228162377394253868906205774,16333656.917841004,5001.017342693791,5000.982765902598,348.84472021348006,500,0.9999999982724566,1.0000000017275434,WETH/ETHM,0.9999999965449133,1.0000000034550867,9.999999965449133e-19,1.0000000034550866e-18,25010001.542791653,10002.000108596449
0x68082ecc5bbad8fe77c2cb9d0e3403d9a00ccbc2,WDOGE,18,0x35a532d376ffd9a705d0bb319532837337a398e7,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,772598387940174094772494474,15844988.30819034,34146403.61403079,1483.4756312981804,227267491.17586038,10000,0.009751562618924483,102.54766739223295,WDOGE/WETH,9.509297351080532e-05,10516.024087588037,9.509297351080533e-23,1.0516024087588037e-14,50655357657.886795,3501634054.9187765
0x948b54a93f5ad1df6b8bff6dc249d99ca2eca052,FET,18,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1564287412389795399523851980,15736402.264592486,8897630.382113336,1244.527731562323,361987431.0652554,10000,0.019744082946618374,50.64808543925171,FET/WETH,0.00038982881140294635,2565.2285586617418,3.8982881140294633e-22,2.5652285586617416e-15,11073347755.731514,450647968.37221676
0xc3db44adc1fcdfd5671f555236eae49f4a8eea18,ENA,18,0x57e114b691db790c35207b2e685d4a43181e6061,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1318853880594445785097270144,15637164.801883712,6659637.071658607,2837.9399680628567,1785196400.9592793,3000,0.01664627625759966,60.07349538870364,ENA/WETH,0.0002770985132443261,3608.8248482165977,2.770985132443261e-22,3.608824848216598e-15,18899650218.45304,400067724.15585583
0x95a45a87dd4d3a1803039072f37e075f37b23d75,VIRTUAL,18,0x44ff8620b8ca30902395a7bd3f2407e1a091bf73,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2622145050060151444779964847,15619833.778265491,3536193.47080802,795.6544006489588,175836506.88388658,10000,0.03309612348497994,30.215019002265667,VIRTUAL/WETH,0.0010953533897330408,912.9473733072755,1.0953533897330409e-21,9.129473733072755e-16,2813587896.5945163,106846179.2492284
0x3b685307c8611afb2a9e83ebc8743dc20480716e,FTM,18,0x4e15361fd6b4bb609fa63c81a2be19d873717870,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1209804067936233820921093115,15538999.162920201,8775313.35749116,2587.272955993958,1558762749.9077096,10000,0.015269874114755838,65.48842462516855,FTM/WETH,0.00023316905548049038,4288.733759886382,2.3316905548049037e-22,4.288733759886383e-15,22704130930.20942,574681486.8816268
